幣別,現金(買),現金(賣),即期(買),即期(賣)
美金 (USD),29.09,29.76,29.44,29.54
港幣 (HKD),3.647,3.851,3.773,3.833
英鎊 (GBP),35.87,37.99,36.87,37.29
澳幣 (AUD),20.22,21,20.49,20.72
加拿大幣 (CAD),21.23,22.14,21.62,21.84
新加坡幣 (SGD),20.61,21.52,21.1,21.28
瑞士法郎 (CHF),30.38,31.58,31.04,31.33
日圓 (JPY),0.2657,0.2785,0.273,0.277
南非幣 (ZAR),-,-,1.721,1.801
瑞典幣 (SEK),2.86,3.38,3.2,3.3
紐元 (NZD),18.82,19.67,19.2,19.4
泰幣 (THB),0.803,0.993,0.9154,0.9554
菲國比索 (PHP),0.522,0.655,-,-
印尼幣 (IDR),0.00168,0.00238,-,-
歐元 (EUR),32.76,34.1,33.38,33.78
韓元 (KRW),0.02274,0.02664,-,-
越南盾 (VND),0.0009,0.0014,-,-
馬來幣 (MYR),5.796,7.421,-,-
人民幣 (CNY),4.116,4.278,4.188,4.238
